관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,12월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,관광지,자연,자연관광지,섬,12905.0,12.0,234.0,44.0,30.0,26.0,26.0,36.0,40.0,32.0
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,12.0,9.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,12.0,27.0,3.0,6.0,4.0,4.0,5.0,2.0,3.0
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,12.0,244.0,28.0,44.0,24.0,36.0,48.0,37.0,27.0
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,관광지,자연,자연관광지,자연생태관광지,542.0,12.0,22.0,1.0,5.0,1.0,2.0,3.0,0.0,10.0
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,관광지,자연,자연관광지,해수욕장,11572.0,12.0,411.0,46.0,46.0,62.0,69.0,68.0,67.0,53.0
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,관광지,자연,자연관광지,해수욕장,10642.0,12.0,1310.0,163.0,204.0,184.0,157.0,179.0,185.0,238.0
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,관광지,자연,자연관광지,항구/포구,563.0,12.0,22.0,5.0,2.0,5.0,3.0,1.0,3.0,3.0
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,12.0,7.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,관광지,자연,자연관광지,해수욕장,13346.0,12.0,262.0,26.0,37.0,32.0,37.0,37.0,58.0,35.0
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,관광지,자연,자연관광지,자연생태관광지,4832.0,12.0,81.0,12.0,10.0,17.0,7.0,13.0,11.0,11.0
노을해안로,제주특별자치도 서귀포시 대정읍 영락리 ,관광지,자연,자연관광지,자연생태관광지,1349.0,12.0,47.0,11.0,8.0,5.0,2.0,3.0,7.0,11.0
논짓물,제주특별자치도 서귀포시 예래해안로 253 (하예동),관광지,자연,자연관광지,해수욕장,7654.0,12.0,134.0,14.0,22.0,21.0,15.0,19.0,18.0,25.0
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,12.0,152.0,16.0,13.0,31.0,20.0,31.0,25.0,16.0
다려도,제주특별자치도 제주시 조천읍 북촌리 산 89,관광지,자연,자연관광지,섬,696.0,12.0,36.0,7.0,5.0,3.0,9.0,2.0,2.0,8.0
닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1 ,관광지,자연,자연관광지,자연생태관광지,12241.0,12.0,1165.0,185.0,170.0,142.0,151.0,171.0,166.0,180.0
