관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,5월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107 ,관광지,자연,자연관광지,해안절경,37459.0,5.0,4292.0,759.0,831.0,751.0,560.0,538.0,390.0,463.0
성읍녹차마을,제주특별자치도 서귀포시 중산간동로 4778 녹차가공공장 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1271.0,5.0,141.0,25.0,25.0,35.0,17.0,14.0,15.0,10.0
성읍민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 19 ,관광지,인문(문화/예술/역사),역사관광지,민속마을,8542.0,5.0,616.0,107.0,105.0,125.0,97.0,64.0,46.0,72.0
성이시돌목장,제주특별자치도 제주시 한림읍 산록남로 53 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,11292.0,5.0,889.0,177.0,166.0,144.0,112.0,124.0,86.0,80.0
세화해변,제주특별자치도 제주시 구좌읍 세화길 (구좌읍),관광지,자연,자연관광지,해수욕장,11079.0,5.0,1110.0,189.0,201.0,145.0,151.0,159.0,113.0,152.0
소남머리,제주특별자치도 서귀포시 칠십리로 145 (서귀동) ,관광지,자연,자연관광지,해안절경,535.0,5.0,62.0,11.0,13.0,7.0,12.0,10.0,3.0,6.0
소천지,제주특별자치도 서귀포시 보목동 1400 (보목동),관광지,자연,자연관광지,해안절경,4918.0,5.0,701.0,113.0,103.0,70.0,109.0,103.0,108.0,95.0
쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128 (하효동),관광지,자연,자연관광지,계곡,38097.0,5.0,4119.0,735.0,761.0,684.0,497.0,491.0,459.0,492.0
술다끄는집,제주특별자치도 서귀포시 성읍정의현로56번길 5 ,문화시설,인문(문화/예술/역사),체험관광지,이색체험,299.0,5.0,32.0,9.0,3.0,7.0,7.0,4.0,0.0,2.0
쉬리의언덕,제주특별자치도 서귀포시 색달동 3093-1,관광지,자연,자연관광지,자연생태관광지,1722.0,5.0,199.0,31.0,37.0,32.0,22.0,27.0,23.0,27.0
신도포구,제주특별자치도 서귀포시 대정읍 신도리 3046-2 ,관광지,자연,자연관광지,항구/포구,569.0,5.0,81.0,17.0,14.0,10.0,14.0,6.0,6.0,14.0
신비의도로,제주특별자치도 제주시 노형동 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,4799.0,5.0,362.0,70.0,64.0,49.0,51.0,50.0,37.0,41.0
신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 107 ,관광지,자연,자연관광지,해수욕장,2736.0,5.0,308.0,70.0,51.0,55.0,30.0,39.0,25.0,38.0
