관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,3월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113 ,서귀포시,관광지,인문(문화/예술/역사),역사관광지,종교성지,13913.0,3.0,1257.0,157.0,122.0,218.0,315.0,182.0,113.0,150.0,33.3051258,126.3872587
백리향,제주특별자치도 제주시 조천읍 신북로 244 ,제주시,음식점,음식,음식점,한식,226.0,3.0,17.0,5.0,3.0,1.0,3.0,3.0,1.0,1.0,33.5369782,126.6384908
백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산1 ,서귀포시,관광지,자연,자연관광지,산,8939.0,3.0,803.0,104.0,130.0,131.0,136.0,105.0,81.0,116.0,33.437224,126.790195
백제사,제주특별자치도 제주시 애월읍 광령남6길 54 (애월읍),제주시,관광지,인문(문화/예술/역사),역사관광지,사찰,432.0,3.0,46.0,5.0,3.0,7.0,6.0,10.0,6.0,9.0,33.4487759,126.4242169
백패커스홈,제주특별자치도 서귀포시 중정로 24-7 (서귀동),서귀포시,숙박,숙박,숙박시설,게스트하우스,315.0,3.0,27.0,6.0,3.0,5.0,5.0,3.0,0.0,5.0,33.2472869,126.5590809
뱅인타코,제주특별자치도 서귀포시 에듀시티로 74 라온프라이빗에듀 상가동 101호,서귀포시,음식점,음식,음식점,서양식,191.0,3.0,18.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,33.2895343,126.2819869
버터모닝,제주특별자치도 제주시 하광로 279 ,제주시,음식점,음식,음식점,카페/전통찻집,449.0,3.0,52.0,9.0,4.0,11.0,12.0,6.0,6.0,4.0,33.4642738,126.4229995
법화사,제주특별자치도 서귀포시 하원북로35번길 15-28 법화사 ,서귀포시,관광지,인문(문화/예술/역사),역사관광지,사찰,1620.0,3.0,141.0,21.0,21.0,15.0,16.0,28.0,23.0,17.0,33.2651982,126.4577155
법환어촌계횟집,제주특별자치도 서귀포시 막숙포로 61 (법환동),서귀포시,음식점,음식,음식점,한식,160.0,3.0,40.0,4.0,12.0,6.0,5.0,3.0,6.0,4.0,33.2358897,126.514898
법환포구,제주특별자치도 서귀포시 막숙포로 46 (법환동),서귀포시,관광지,자연,자연관광지,항구/포구,2010.0,3.0,170.0,18.0,23.0,37.0,22.0,34.0,15.0,21.0,33.2378108,126.5157218
벙커하우스,제주특별자치도 서귀포시 막숙포로41번길 66 ,서귀포시,음식점,음식,음식점,카페/전통찻집,349.0,3.0,41.0,6.0,4.0,10.0,5.0,7.0,7.0,2.0,33.2405833,126.5191222
베니키아호텔제주,제주특별자치도 제주시 애월읍 애월해안로 554-10 ,제주시,숙박,숙박,숙박시설,관광호텔,272.0,3.0,29.0,6.0,1.0,5.0,4.0,3.0,7.0,3.0,33.477337,126.3628356
베릿네오름,제주특별자치도 서귀포시 중문동 2314-2 ,서귀포시,관광지,자연,자연관광지,산,1551.0,3.0,204.0,32.0,19.0,21.0,43.0,31.0,35.0,23.0,33.2489928,126.4189201
별도봉,제주특별자치도 제주시 선반로 (화북일동),제주시,관광지,자연,자연관광지,산,942.0,3.0,123.0,18.0,21.0,22.0,13.0,20.0,13.0,16.0,33.5152335,126.5637013
별방진,제주특별자치도 제주시 구좌읍 하도리 3354 (구좌읍),제주시,관광지,인문(문화/예술/역사),역사관광지,성,2260.0,3.0,455.0,66.0,53.0,65.0,88.0,71.0,47.0,65.0,33.5264493,126.8830512
볕이드는곳벧디,제주특별자치도 제주시 은수길 65 ,제주시,음식점,음식,음식점,카페/전통찻집,344.0,3.0,36.0,5.0,7.0,5.0,5.0,4.0,3.0,7.0,33.4714991,126.4880975
보래드베이커스,제주특별자치도 서귀포시 보목로64번길 178 1층,서귀포시,음식점,음식,음식점,카페/전통찻집,331.0,3.0,42.0,7.0,5.0,6.0,7.0,6.0,5.0,6.0,33.2444011,126.5906654
보롬왓,제주특별자치도 서귀포시 번영로 2350-104 ,서귀포시,관광지,인문(문화/예술/역사),산업관광지,기타,17967.0,3.0,1148.0,188.0,154.0,176.0,202.0,183.0,105.0,140.0,33.4134884,126.7525669
보목포구,제주특별자치도 서귀포시 보목포로 46 (보목동),서귀포시,관광지,자연,자연관광지,항구/포구,1004.0,3.0,83.0,11.0,9.0,17.0,15.0,17.0,9.0,5.0,33.2395268,126.6073589
보물섬하이킹,"제주특별자치도 제주시 용문로14길 14 (용담이동,장원하이빌아파트)",제주시,레포츠,레포츠,육상 레포츠,자전거하이킹,587.0,3.0,73.0,8.0,13.0,10.0,12.0,18.0,9.0,3.0,33.5059252,126.5102111
보영반점,제주특별자치도 제주시 한림읍 한림로 692-1 ,제주시,음식점,음식,음식점,중식,267.0,3.0,22.0,4.0,2.0,1.0,5.0,6.0,1.0,3.0,33.4165946,126.265158
복단지식당,제주특별자치도 제주시 한림읍 한림북동길 26 ,제주시,음식점,음식,음식점,한식,205.0,3.0,23.0,5.0,1.0,4.0,5.0,3.0,1.0,4.0,33.4174102,126.2639547
복자씨연탄구이,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764 ,서귀포시,음식점,음식,음식점,한식,660.0,3.0,77.0,9.0,12.0,13.0,13.0,9.0,11.0,10.0,33.4691923,126.9198574
본가,제주특별자치도 제주시 도남로 101 ,제주시,음식점,음식,음식점,한식,129.0,3.0,19.0,7.0,2.0,4.0,2.0,0.0,2.0,2.0,33.4911293,126.5285477
본카페,제주특별자치도 제주시 애월읍 애월해안로 179 ,제주시,음식점,음식,음식점,카페/전통찻집,182.0,3.0,19.0,3.0,1.0,5.0,3.0,4.0,2.0,1.0,33.4677759,126.332037
본태박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 69 (안덕면),서귀포시,문화시설,인문(문화/예술/역사),문화시설,박물관,8880.0,3.0,460.0,73.0,58.0,83.0,74.0,64.0,49.0,59.0,33.3038302,126.3925024
볼스카페,제주특별자치도 서귀포시 일주서로 626 ,서귀포시,음식점,음식,음식점,카페/전통찻집,308.0,3.0,27.0,10.0,4.0,3.0,1.0,4.0,2.0,3.0,33.2533157,126.4425765
봄날카페,제주특별자치도 제주시 애월읍 애월로1길 25 ,제주시,음식점,음식,음식점,카페/전통찻집,2277.0,3.0,253.0,37.0,45.0,46.0,37.0,37.0,27.0,24.0,33.4625151,126.3094702
봉주르마담,제주특별자치도 서귀포시 대청로 33 오름빌딩1차 103호,서귀포시,음식점,음식,음식점,카페/전통찻집,248.0,3.0,38.0,2.0,5.0,7.0,11.0,5.0,2.0,6.0,33.2527924,126.5033566
북촌에가면,제주특별자치도 제주시 북촌5길 6 ,제주시,음식점,음식,음식점,카페/전통찻집,854.0,3.0,73.0,10.0,13.0,13.0,12.0,10.0,8.0,7.0,33.54803880000001,126.6925813
뷰스트,제주특별자치도 서귀포시 형제해안로 30 ,서귀포시,음식점,음식,음식점,카페/전통찻집,171.0,3.0,20.0,5.0,3.0,2.0,2.0,3.0,1.0,4.0,33.22778660000001,126.3034978
브릭216,제주특별자치도 서귀포시 이어도로 216 (대포동),서귀포시,숙박,숙박,숙박시설,게스트하우스,296.0,3.0,24.0,3.0,2.0,8.0,4.0,4.0,2.0,1.0,33.240855,126.4434116
블라제리조트,제주특별자치도 서귀포시 녹산로 274 ,서귀포시,숙박,숙박,숙박시설,콘도미니엄,367.0,3.0,62.0,7.0,14.0,5.0,13.0,13.0,7.0,3.0,33.3792662,126.7469026
블랑로쉐,제주특별자치도 제주시 우도면 우도해안길 783 ,제주시,음식점,음식,음식점,카페/전통찻집,411.0,3.0,51.0,12.0,2.0,4.0,16.0,4.0,10.0,3.0,33.5169474,126.9579979
블루메베이글,제주특별자치도 제주시 가령로4길 3 ,제주시,음식점,음식,음식점,카페/전통찻집,564.0,3.0,87.0,6.0,7.0,12.0,21.0,14.0,13.0,14.0,33.4967164,126.5331297
블루사이공,제주특별자치도 제주시 중산간서로 6333 ,제주시,음식점,음식,음식점,이색음식점,302.0,3.0,46.0,7.0,1.0,5.0,7.0,11.0,11.0,4.0,33.4570669,126.4078876
블룸호텔,제주특별자치도 서귀포시 중문관광로72번길 53 (색달동) ,서귀포시,숙박,숙박,숙박시설,관광호텔,278.0,3.0,30.0,3.0,5.0,7.0,6.0,4.0,2.0,3.0,33.2498662,126.4081758
블리스풀,제주특별자치도 제주시 산록서로 383 1층,제주시,음식점,음식,음식점,카페/전통찻집,296.0,3.0,23.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,33.4049743,126.4075198
비스타리조트,제주특별자치도 제주시 서해안로 74 ,제주시,숙박,인문(문화/예술/역사),휴양관광지,관광단지,191.0,3.0,22.0,7.0,1.0,5.0,2.0,0.0,3.0,4.0,33.5031197,126.457563
비양도,제주특별자치도 제주시 한림읍 한림리 ,제주시,관광지,자연,자연관광지,섬,9499.0,3.0,652.0,99.0,109.0,93.0,99.0,136.0,46.0,70.0,33.3819398,126.2497525
비원,제주특별자치도 제주시 수목원길 3-1 ,제주시,음식점,음식,음식점,한식,164.0,3.0,14.0,0.0,0.0,3.0,5.0,3.0,1.0,2.0,33.4700634,126.486041
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55 ,제주시,관광지,자연,자연관광지,수목원,90622.0,3.0,8792.0,1275.0,1178.0,1450.0,1413.0,1364.0,997.0,1115.0,33.4914321,126.8111377
비체올린,제주특별자치도 제주시 한경면 판조로 253-6 ,제주시,레포츠,레포츠,수상 레포츠,카약/카누,2417.0,3.0,280.0,60.0,36.0,44.0,36.0,40.0,29.0,35.0,33.3494593,126.2184532
빵귿,제주특별자치도 제주시 구남동6길 45-1 1층,제주시,음식점,음식,음식점,카페/전통찻집,173.0,3.0,13.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,33.4871193,126.5351508
쁠랑뜨,제주특별자치도 제주시 1100로 2977-15 ,제주시,음식점,음식,음식점,카페/전통찻집,528.0,3.0,36.0,9.0,4.0,5.0,6.0,7.0,3.0,2.0,33.4527721,126.4854305
사계해변,제주특별자치도 서귀포시 안덕면 사계리 2147-35,서귀포시,관광지,자연,자연관광지,해수욕장,7256.0,3.0,593.0,84.0,86.0,93.0,92.0,109.0,70.0,59.0,33.2281549,126.3083471
사라봉,제주특별자치도 제주시 사라봉동길 61 (건입동),제주시,관광지,자연,자연관광지,산,3243.0,3.0,284.0,41.0,50.0,40.0,43.0,48.0,27.0,35.0,33.5175052,126.5463832
사라봉공원,제주특별자치도 제주시 사라봉동길 74 ,제주시,관광지,인문(문화/예술/역사),휴양관광지,공원,1849.0,3.0,196.0,24.0,31.0,32.0,31.0,29.0,22.0,27.0,33.5177204,126.5457574
사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1 ,서귀포시,관광지,자연,자연관광지,산,3101.0,3.0,250.0,36.0,36.0,37.0,29.0,41.0,37.0,34.0,33.3330338,126.6180657
사려니숲길,제주특별자치도 서귀포시 표선면 가시리 붉은오름 입구 ,서귀포시,레포츠,레포츠,육상 레포츠,트래킹,91246.0,3.0,8873.0,1188.0,1175.0,1438.0,1329.0,1515.0,1011.0,1217.0,33.4180631,126.6534847
사해방흑돼지,제주특별자치도 서귀포시 천제연로 263 ,서귀포시,음식점,음식,음식점,한식,300.0,3.0,32.0,3.0,7.0,6.0,2.0,6.0,2.0,6.0,33.2514515,126.4327501
산굼부리,제주특별자치도 제주시 조천읍 비자림로 768 ,제주시,관광지,자연,자연관광지,산,12068.0,3.0,1024.0,142.0,154.0,180.0,153.0,151.0,127.0,117.0,33.4349973,126.6882639
산방굴사,제주특별자치도 서귀포시 안덕면 산방로 218-12 ,서귀포시,관광지,인문(문화/예술/역사),역사관광지,사찰,10646.0,3.0,1363.0,178.0,165.0,228.0,233.0,246.0,125.0,188.0,33.2423934,126.3139575
산방산,제주특별자치도 서귀포시 안덕면 산방로 218-10 (안덕면),서귀포시,관광지,자연,자연관광지,산,19214.0,3.0,2337.0,298.0,357.0,382.0,350.0,373.0,284.0,293.0,33.2423934,126.3139575
산지등대,제주특별자치도 제주시 사라봉동길 108-1 (건입동),제주시,관광지,자연,자연관광지,등대,1222.0,3.0,109.0,14.0,14.0,24.0,17.0,23.0,7.0,10.0,33.5213689,126.5456439
산지천,제주특별자치도 제주시 건입동 ,제주시,관광지,자연,자연관광지,계곡,2021.0,3.0,216.0,29.0,35.0,34.0,47.0,27.0,17.0,27.0,33.5153591,126.5420032
산지천갤러리,제주특별자치도 제주시 중앙로3길 36 ,제주시,문화시설,인문(문화/예술/역사),문화시설,미술관/화랑,503.0,3.0,45.0,3.0,12.0,5.0,6.0,7.0,6.0,6.0,33.5151533,126.5283418
산지해장국,제주특별자치도 제주시 임항로 34 ,제주시,음식점,음식,음식점,한식,322.0,3.0,34.0,8.0,2.0,2.0,11.0,2.0,2.0,7.0,33.5163687,126.5285146
산천단곰솔,제주특별자치도 제주시 516로 3041-24 (아라일동),제주시,관광지,자연,관광자원,희귀동.식물,528.0,3.0,59.0,8.0,12.0,14.0,6.0,10.0,4.0,5.0,33.44761440000001,126.5548272
산포식당,제주특별자치도 서귀포시 성산읍 서성일로 1134 ,서귀포시,음식점,음식,음식점,한식,312.0,3.0,33.0,3.0,3.0,6.0,9.0,5.0,5.0,2.0,33.445123,126.8996991
삼다닷컴,제주특별자치도 제주시 연삼로 295-1 (도남동),제주시,쇼핑,쇼핑,쇼핑,전문매장/상가,258.0,3.0,20.0,6.0,2.0,4.0,2.0,2.0,1.0,3.0,33.4925754,126.5243068
삼다도횟집,제주특별자치도 제주시 서해안로 572 ,제주시,음식점,음식,음식점,한식,647.0,3.0,92.0,14.0,9.0,17.0,16.0,15.0,13.0,8.0,33.5190045,126.4992157
삼다정,제주특별자치도 제주시 노연로 80 1층,제주시,음식점,음식,음식점,한식,541.0,3.0,70.0,7.0,13.0,9.0,15.0,8.0,10.0,8.0,33.4848645,126.4885577
삼매봉,제주특별자치도 서귀포시 서홍동 820-2,서귀포시,관광지,인문(문화/예술/역사),휴양관광지,공원,630.0,3.0,79.0,10.0,9.0,15.0,12.0,18.0,9.0,6.0,33.2437181,126.5462844
삼무국수,제주특별자치도 제주시 삼무로3길 46-1 (연동),제주시,음식점,음식,음식점,한식,484.0,3.0,63.0,12.0,9.0,13.0,10.0,8.0,4.0,7.0,33.4906074,126.4909963
삼보식당,제주특별자치도 서귀포시 중정로 25 (서귀동) ,서귀포시,음식점,음식,음식점,한식,223.0,3.0,19.0,2.0,1.0,2.0,3.0,8.0,2.0,1.0,33.2477179,126.5591143
삼성혈해물탕,제주특별자치도 제주시 선덕로5길 20 ,제주시,음식점,음식,음식점,한식,501.0,3.0,64.0,7.0,11.0,6.0,17.0,10.0,5.0,8.0,33.4880115,126.4997147
삼양해수욕장,제주특별자치도 제주시 삼양이동 ,제주시,관광지,자연,자연관광지,해수욕장,3979.0,3.0,365.0,53.0,62.0,62.0,50.0,58.0,33.0,47.0,33.5152875,126.5914354
삼양해안도로,제주특별자치도 제주시 삼양삼동 2582-1 ,제주시,관광지,자연,자연관광지,자연생태관광지,481.0,3.0,37.0,8.0,5.0,6.0,5.0,5.0,7.0,1.0,33.52099949999999,126.5841277
삼일해장국,제주특별자치도 제주시 하귀9길 14 ,제주시,음식점,음식,음식점,한식,311.0,3.0,33.0,5.0,4.0,4.0,5.0,7.0,6.0,2.0,33.4855944,126.4151768
새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8 ,제주시,관광지,자연,자연관광지,산,40734.0,3.0,3957.0,524.0,541.0,635.0,586.0,641.0,499.0,531.0,33.364338,126.3552026
새빌,제주특별자치도 제주시 애월읍 평화로 1529 ,제주시,음식점,음식,음식점,카페/전통찻집,652.0,3.0,46.0,6.0,7.0,6.0,5.0,11.0,4.0,7.0,33.3630985,126.3637295
생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 ,제주시,쇼핑,쇼핑,쇼핑,사후면세점,4446.0,3.0,565.0,129.0,83.0,88.0,81.0,76.0,44.0,64.0,33.3256175,126.2554228
생원전복,제주특별자치도 서귀포시 안덕면 산방로 7 ,서귀포시,음식점,음식,음식점,한식,282.0,3.0,29.0,2.0,3.0,6.0,5.0,5.0,5.0,3.0,33.2458578,126.3306689
샤오츠,제주특별자치도 서귀포시 성산등용로17번길 55 제주 성산 리치유 클래시아 상가 102호,서귀포시,음식점,음식,음식점,중식,224.0,3.0,21.0,2.0,4.0,2.0,5.0,3.0,2.0,3.0,33.4604576,126.9296608
샤이니숲길,제주특별자치도 제주시 조천읍 교래리 719-10,제주시,관광지,자연,자연관광지,산,2174.0,3.0,190.0,25.0,29.0,33.0,23.0,34.0,20.0,26.0,33.4180631,126.6534847
서건도,제주특별자치도 서귀포시 강정동 ,서귀포시,관광지,자연,자연관광지,섬,2003.0,3.0,171.0,21.0,23.0,39.0,23.0,25.0,10.0,30.0,33.2300776,126.4984926
서귀다원,제주특별자치도 서귀포시 516로 717 (상효동),서귀포시,관광지,인문(문화/예술/역사),산업관광지,기타,4111.0,3.0,529.0,81.0,70.0,94.0,70.0,77.0,54.0,83.0,33.3211576,126.5716701
서귀본향당,제주특별자치도 서귀포시 이중섭로 23-11 (서귀동),서귀포시,관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,783.0,3.0,147.0,21.0,23.0,25.0,15.0,27.0,20.0,16.0,33.2461722,126.5647482
서귀포귤림성,제주특별자치도 서귀포시 일주동로 8941 ,서귀포시,숙박,숙박,숙박시설,펜션,352.0,3.0,60.0,8.0,9.0,13.0,9.0,9.0,3.0,9.0,33.2505771,126.5363941
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271 (호근동),서귀포시,관광지,인문(문화/예술/역사),휴양관광지,헬스투어,11271.0,3.0,1026.0,171.0,152.0,176.0,169.0,155.0,75.0,128.0,33.3025489,126.5245747
서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242 ,서귀포시,숙박,숙박,숙박시설,관광호텔,866.0,3.0,88.0,13.0,4.0,17.0,20.0,21.0,5.0,8.0,33.2462908,126.5813639
서귀포매일올레시장,제주특별자치도 서귀포시 중앙로62번길 18 ,서귀포시,쇼핑,쇼핑,쇼핑,상설시장,15106.0,3.0,1047.0,151.0,138.0,165.0,175.0,191.0,108.0,119.0,33.2501737,126.5634281
서귀포시립기당미술관,제주특별자치도 서귀포시 남성중로153번길 15 ,서귀포시,문화시설,인문(문화/예술/역사),문화시설,미술관/화랑,1077.0,3.0,100.0,9.0,15.0,17.0,24.0,15.0,11.0,9.0,33.2446073,126.5517635
서귀포예술의전당,제주특별자치도 서귀포시 태평로 270 (서홍동) ,서귀포시,문화시설,인문(문화/예술/역사),문화시설,공연장,6869.0,3.0,731.0,108.0,72.0,95.0,163.0,132.0,91.0,70.0,33.2462166,126.550832
서귀포자연휴양림,제주특별자치도 서귀포시 1100로 882 ,서귀포시,관광지,자연,자연관광지,자연휴양림,2851.0,3.0,301.0,56.0,33.0,64.0,44.0,43.0,27.0,34.0,33.3107796,126.4597767
서귀포천문과학문화관,제주특별자치도 서귀포시 1100로 506-1 천문과학문화관 ,서귀포시,문화시설,인문(문화/예술/역사),문화시설,전시관,2235.0,3.0,127.0,18.0,19.0,20.0,17.0,24.0,14.0,15.0,33.2879365,126.4613039
서귀포칠십리시공원,제주특별자치도 서귀포시 현청로 41-19 ,서귀포시,관광지,자연,자연관광지,수목원,3056.0,3.0,356.0,56.0,51.0,56.0,44.0,65.0,37.0,47.0,33.2461424,126.5536944
서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14 (서귀동),서귀포시,관광지,자연,자연관광지,항구/포구,2308.0,3.0,262.0,41.0,38.0,35.0,33.0,41.0,38.0,36.0,33.2382947,126.5668633
서귀포해안,제주특별자치도 서귀포시 남성로128번길 13 (서홍동) ,서귀포시,관광지,자연,자연관광지,해안절경,444.0,3.0,49.0,5.0,6.0,14.0,4.0,10.0,2.0,8.0,33.2857414,126.51819
서귀피안베이커리,제주특별자치도 서귀포시 신양로122번길 17 ,서귀포시,음식점,음식,음식점,카페/전통찻집,1076.0,3.0,49.0,7.0,10.0,7.0,9.0,8.0,4.0,4.0,33.4353401,126.921809
서문공설시장,제주특별자치도 제주시 서문로4길 13-2 ,제주시,쇼핑,쇼핑,쇼핑,상설시장,846.0,3.0,91.0,13.0,12.0,14.0,17.0,14.0,13.0,8.0,33.51136470000001,126.5179247
서복전시관,제주특별자치도 서귀포시 칠십리로 156-8 (서귀동),서귀포시,문화시설,인문(문화/예술/역사),문화시설,전시관,2202.0,3.0,120.0,25.0,16.0,16.0,16.0,30.0,6.0,11.0,33.2447048,126.5709423
서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243 ,제주시,관광지,인문(문화/예술/역사),휴양관광지,테마공원,1994.0,3.0,225.0,25.0,24.0,26.0,21.0,99.0,9.0,21.0,33.4651605,126.6592588
서홍정원,제주특별자치도 서귀포시 솜반천로55번길 12-8 ,서귀포시,음식점,음식,음식점,카페/전통찻집,254.0,3.0,30.0,7.0,2.0,4.0,6.0,7.0,2.0,2.0,33.252591,126.5544564
선운정사,제주특별자치도 제주시 애월읍 구몰동길 65 ,제주시,관광지,인문(문화/예술/역사),역사관광지,사찰,2945.0,3.0,330.0,53.0,41.0,58.0,56.0,56.0,29.0,37.0,33.4293512,126.3070877
선흘곶,제주특별자치도 제주시 조천읍 동백로 102 ,제주시,음식점,음식,음식점,한식,292.0,3.0,43.0,5.0,9.0,7.0,8.0,10.0,3.0,1.0,33.5084437,126.7177644
섬소나이,제주특별자치도 제주시 우도해안길 814 ,제주시,음식점,음식,음식점,중식,628.0,3.0,87.0,8.0,14.0,16.0,17.0,17.0,5.0,10.0,33.5132549,126.9575025
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107 ,서귀포시,관광지,자연,자연관광지,해안절경,37459.0,3.0,3438.0,498.0,497.0,627.0,536.0,556.0,368.0,356.0,33.4300919,126.9272996
섭지코지로,제주특별자치도 서귀포시 성산읍 섭지코지로 43 ,서귀포시,음식점,음식,음식점,한식,395.0,3.0,24.0,5.0,5.0,3.0,2.0,6.0,2.0,1.0,33.473925,126.9014769
섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1618 ,서귀포시,관광지,자연,자연관광지,산,1894.0,3.0,241.0,31.0,44.0,43.0,31.0,37.0,20.0,35.0,33.2041823,126.281552
성김대건신부표착기념관,제주특별자치도 제주시 한경면 용수1길 108 ,제주시,문화시설,인문(문화/예술/역사),역사관광지,종교성지,1418.0,3.0,105.0,16.0,13.0,21.0,10.0,19.0,7.0,19.0,33.322643,126.167682
성미가든,제주특별자치도 제주시 조천읍 교래1길 2 ,제주시,음식점,음식,음식점,한식,436.0,3.0,34.0,6.0,4.0,9.0,6.0,4.0,1.0,4.0,33.4376443,126.6769002
성불오름,제주특별자치도 제주시 구좌읍 중산간동로 2532 ,제주시,관광지,자연,자연관광지,산,835.0,3.0,86.0,12.0,7.0,14.0,18.0,19.0,9.0,7.0,33.459495,126.8089765
성산해오름식당,제주특별자치도 서귀포시 성산읍 일출로 260 ,서귀포시,음식점,음식,음식점,한식,741.0,3.0,84.0,9.0,16.0,17.0,18.0,9.0,2.0,13.0,33.4610918,126.9335305
성산흑돼지두루치기,제주특별자치도 서귀포시 한도로 255 ,서귀포시,음식점,음식,음식점,한식,497.0,3.0,63.0,5.0,5.0,9.0,14.0,9.0,12.0,9.0,33.4661517,126.9347499
성읍녹차마을,제주특별자치도 서귀포시 중산간동로 4778 녹차가공공장 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1271.0,3.0,136.0,23.0,16.0,23.0,19.0,24.0,17.0,14.0,33.3810103,126.7901958
성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650 ,서귀포시,관광지,인문(문화/예술/역사),휴양관광지,테마공원,1912.0,3.0,138.0,19.0,15.0,26.0,20.0,29.0,15.0,14.0,33.398978,126.7869638
성읍민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 19 ,서귀포시,관광지,인문(문화/예술/역사),역사관광지,민속마을,8542.0,3.0,759.0,105.0,142.0,114.0,122.0,123.0,75.0,78.0,33.3844862,126.8003558
성읍승마장,제주특별자치도 서귀포시 표선면 번영로 2650 ,서귀포시,레포츠,레포츠,육상 레포츠,승마,714.0,3.0,65.0,13.0,10.0,10.0,8.0,14.0,6.0,4.0,33.398978,126.7869638
성읍칠십리식당,제주특별자치도 서귀포시 표선면 성읍정의현로 74 ,서귀포시,음식점,음식,음식점,한식,468.0,3.0,47.0,4.0,8.0,7.0,9.0,7.0,2.0,10.0,33.3892742,126.8011817
성이시돌목장,제주특별자치도 제주시 한림읍 산록남로 53 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,11292.0,3.0,811.0,118.0,109.0,139.0,142.0,127.0,74.0,102.0,33.3459727,126.3215552
세계술박물관,제주특별자치도 서귀포시 표선면 한마음초등로 431 ,서귀포시,문화시설,인문(문화/예술/역사),문화시설,박물관,782.0,3.0,85.0,11.0,12.0,19.0,8.0,18.0,9.0,8.0,33.3539492,126.8176627
세계조가비박물관,제주특별자치도 서귀포시 태평로 284 ,서귀포시,문화시설,인문(문화/예술/역사),문화시설,박물관,832.0,3.0,75.0,10.0,15.0,11.0,9.0,13.0,8.0,9.0,33.2475382,126.5516833
세화해변,제주특별자치도 제주시 구좌읍 세화길 (구좌읍),제주시,관광지,자연,자연관광지,해수욕장,11079.0,3.0,1156.0,149.0,162.0,205.0,178.0,181.0,130.0,151.0,33.5233947,126.8622722
소남머리,제주특별자치도 서귀포시 칠십리로 145 (서귀동) ,서귀포시,관광지,자연,자연관광지,해안절경,535.0,3.0,42.0,6.0,8.0,3.0,11.0,10.0,1.0,3.0,33.2443044,126.5690477
소노벨제주,제주특별자치도 제주시 신북로 577 대명리조트 ,제주시,숙박,숙박,숙박시설,콘도미니엄,805.0,3.0,69.0,11.0,14.0,13.0,9.0,11.0,5.0,6.0,33.541054,126.6719242
소노캄제주,제주특별자치도 서귀포시 표선면 일주동로 6347-17 ,서귀포시,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1885.0,3.0,213.0,27.0,38.0,33.0,37.0,29.0,20.0,29.0,33.3050378,126.7919081
소라횟집,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3 ,제주시,음식점,음식,음식점,한식,426.0,3.0,45.0,8.0,11.0,5.0,7.0,4.0,4.0,6.0,33.5290971,126.8463777
소랑호젠,제주특별자치도 서귀포시 남원읍 태위로 545 ,서귀포시,숙박,숙박,숙박시설,펜션,417.0,3.0,57.0,10.0,5.0,10.0,7.0,11.0,9.0,5.0,33.2757478,126.7053958
소심한책방,제주특별자치도 제주시 구좌읍 종달동길 29-6 (구좌읍),제주시,쇼핑,인문(문화/예술/역사),문화시설,대형서점,669.0,3.0,56.0,9.0,7.0,5.0,10.0,8.0,10.0,7.0,33.4914823,126.9030815
소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878 ,서귀포시,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3988.0,3.0,414.0,62.0,62.0,62.0,66.0,68.0,36.0,58.0,33.2903957,126.3226207
소정방폭포,제주특별자치도 서귀포시 칠십리로214번길 17-17 (동홍동) ,서귀포시,관광지,자연,자연관광지,폭포,1705.0,3.0,139.0,19.0,29.0,22.0,22.0,14.0,18.0,15.0,33.2451289,126.5768275
소천지,제주특별자치도 서귀포시 보목동 1400 (보목동),서귀포시,관광지,자연,자연관광지,해안절경,4918.0,3.0,415.0,44.0,66.0,58.0,89.0,56.0,51.0,51.0,33.2417541,126.6027128
