관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,3월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
덕성원,제주특별자치도 서귀포시 태평로401번길 4 ,서귀포시,음식점,음식,음식점,중식,564.0,3.0,53.0,9.0,10.0,6.0,9.0,10.0,6.0,3.0,33.2449592,126.5634544
델문도,제주특별자치도 제주시 조천읍 조함해안로 519-10 ,제주시,음식점,음식,음식점,카페/전통찻집,1376.0,3.0,136.0,28.0,24.0,19.0,20.0,24.0,7.0,14.0,33.5437787,126.6688353
도두봉,제주특별자치도 제주시 도두일동 산 1 ,제주시,관광지,자연,자연관광지,산,6990.0,3.0,676.0,95.0,95.0,117.0,136.0,104.0,59.0,70.0,33.5085336,126.4690416
도두항,제주특별자치도 제주시 도공로 2 (도두일동),제주시,관광지,자연,자연관광지,항구/포구,960.0,3.0,102.0,22.0,19.0,12.0,16.0,15.0,11.0,7.0,33.5060695,126.4649759
도두해녀의집,제주특별자치도 제주시 도두항길 16 (도두일동),제주시,음식점,음식,음식점,한식,748.0,3.0,81.0,21.0,7.0,15.0,10.0,12.0,7.0,9.0,33.506162,126.4666434
도리미오름,제주특별자치도 제주시 구좌읍 송당리 산 255-1,제주시,관광지,자연,자연관광지,산,333.0,3.0,40.0,5.0,3.0,9.0,5.0,9.0,4.0,5.0,33.4286608,126.7665022
도을,제주특별자치도 제주시 남조로 2343 ,제주시,음식점,음식,음식점,카페/전통찻집,295.0,3.0,33.0,6.0,3.0,5.0,6.0,7.0,1.0,5.0,33.4735811,126.6571543
도토리키친,제주특별자치도 제주시  북성로 (59) ,제주시,음식점,음식,음식점,이색음식점,265.0,3.0,20.0,4.0,0.0,4.0,3.0,4.0,2.0,3.0,33.5153877,126.5186172
독개물항,제주특별자치도 제주시 한림읍 한림로 478 ,제주시,음식점,음식,음식점,한식,671.0,3.0,72.0,12.0,6.0,15.0,13.0,10.0,10.0,6.0,33.4018776,126.251558
돈내코,제주특별자치도 서귀포시 돈내코로 137 ,서귀포시,관광지,자연,자연관광지,계곡,6251.0,3.0,314.0,42.0,51.0,44.0,48.0,60.0,29.0,40.0,33.3510774,126.620716
