관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,11월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1 ,관광지,자연,자연관광지,자연생태관광지,8862.0,11.0,936.0,133.0,110.0,182.0,157.0,121.0,114.0,119.0
신천리벽화마을,제주특별자치도 서귀포시 성산읍 신천리 478-1,관광지,인문(문화/예술/역사),체험관광지,이색체험,757.0,11.0,44.0,4.0,7.0,12.0,6.0,5.0,3.0,7.0
신풍리밭담길,제주특별자치도 서귀포시 성산읍 신풍하동로 39 ,레포츠,인문(문화/예술/역사),체험관광지,이색거리,745.0,11.0,34.0,5.0,6.0,4.0,7.0,4.0,5.0,3.0
싱계물공원,제주특별자치도 제주시 한경면 신창리 1322-1 ,관광지,자연,자연관광지,자연생태관광지,4067.0,11.0,378.0,59.0,45.0,60.0,66.0,58.0,32.0,58.0
쌍용굴,제주특별자치도 제주시 한림읍 한림로 300 ,관광지,자연,자연관광지,동굴,1406.0,11.0,63.0,4.0,8.0,17.0,8.0,11.0,3.0,12.0
아날로그감귤밭,제주특별자치도 제주시 해안마을8길 46 (해안동),관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,2457.0,11.0,197.0,24.0,19.0,34.0,52.0,21.0,23.0,24.0
안덕계곡,제주특별자치도 서귀포시 안덕면 일주서로 1524 ,관광지,자연,자연관광지,계곡,4621.0,11.0,421.0,65.0,60.0,60.0,58.0,67.0,63.0,48.0
어영공원,제주특별자치도 제주시 서해안로 451 (용담삼동) ,관광지,인문(문화/예술/역사),휴양관광지,공원,1250.0,11.0,77.0,6.0,12.0,16.0,9.0,16.0,8.0,10.0
엉덩물계곡,제주특별자치도 서귀포시 중문관광로 192 (중문동),관광지,자연,자연관광지,계곡,5162.0,11.0,123.0,11.0,25.0,23.0,13.0,18.0,21.0,12.0
에코그린리조트,제주특별자치도 제주시 한림읍 귀덕6길 94 ,관광지,인문(문화/예술/역사),휴양관광지,관광단지,405.0,11.0,12.0,1.0,1.0,4.0,0.0,0.0,2.0,4.0
에코랜드테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,14927.0,11.0,1719.0,245.0,201.0,350.0,381.0,207.0,160.0,175.0
연북정,제주특별자치도 제주시 조천읍 조천리 ,관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,927.0,11.0,42.0,5.0,5.0,14.0,7.0,5.0,3.0,3.0
오현단,제주특별자치도 제주시 오현길 61 (이도일동),관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,836.0,11.0,43.0,7.0,5.0,10.0,10.0,5.0,3.0,3.0
외돌개,제주특별자치도 서귀포시 서흥동 791,관광지,자연,관광자원,기암괴석,8990.0,11.0,906.0,205.0,93.0,130.0,124.0,100.0,68.0,186.0
용담레포츠공원,제주특별자치도 제주시 서해안로 580 (용담삼동) ,관광지,인문(문화/예술/역사),휴양관광지,공원,1821.0,11.0,122.0,13.0,15.0,27.0,23.0,18.0,12.0,14.0
용연,제주특별자치도 제주시 용담일동 2581-4,관광지,자연,자연관광지,계곡,4859.0,11.0,246.0,39.0,39.0,32.0,40.0,31.0,36.0,29.0
우도등대,제주특별자치도 제주시 우도면 우도봉길 105 (우도면) 부근,관광지,자연,자연관광지,등대,1336.0,11.0,78.0,16.0,9.0,12.0,15.0,12.0,8.0,6.0
월령선인장군락지,제주특별자치도 제주시 한림읍 월령3길 27-4 ,관광지,자연,자연관광지,자연생태관광지,5452.0,11.0,364.0,69.0,52.0,49.0,67.0,45.0,39.0,43.0
월정리해안도로,제주특별자치도 제주시 구좌읍 월정리 652-4 ,관광지,자연,자연관광지,자연생태관광지,1135.0,11.0,76.0,14.0,7.0,17.0,9.0,10.0,10.0,9.0
이상한나라의앨리스,제주특별자치도 서귀포시 안덕면 중산간서로 1881 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,2759.0,11.0,161.0,24.0,22.0,20.0,28.0,23.0,20.0,24.0
이중섭거주지,제주특별자치도 서귀포시 이중섭로 29 (서귀동),관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,2522.0,11.0,266.0,40.0,45.0,33.0,45.0,44.0,20.0,39.0
이호테우말등대,제주특별자치도 제주시 이호일동 375-43 ,관광지,자연,자연관광지,등대,5223.0,11.0,411.0,64.0,65.0,64.0,90.0,47.0,43.0,38.0
일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30 ,관광지,인문(문화/예술/역사),휴양관광지,공원,4391.0,11.0,327.0,50.0,52.0,54.0,65.0,40.0,42.0,24.0
장생의숲길,제주특별자치도 제주시 명림로 584 (봉개동) ,관광지,자연,자연관광지,자연휴양림,1756.0,11.0,111.0,13.0,18.0,16.0,17.0,18.0,13.0,16.0
절부암,제주특별자치도 제주시 한경면 용수리 4241-5,관광지,자연,관광자원,기암괴석,520.0,11.0,27.0,8.0,1.0,6.0,2.0,6.0,3.0,1.0
정의향교,제주특별자치도 서귀포시 표선면 성읍서문로 14 ,관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,562.0,11.0,33.0,3.0,6.0,6.0,8.0,2.0,4.0,4.0
제주삼양동유적,제주특별자치도 제주시 선사로2길 13 ,관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,1196.0,11.0,107.0,16.0,12.0,20.0,14.0,22.0,11.0,12.0
제주센트럴파크,제주특별자치도 제주시 조천읍 비자림로 606 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,2173.0,11.0,171.0,37.0,19.0,34.0,41.0,9.0,19.0,12.0
제주유리의성,제주특별자치도 제주시 한경면 녹차분재로 462 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,4234.0,11.0,215.0,34.0,25.0,37.0,38.0,20.0,34.0,27.0
제주공룡랜드,제주특별자치도 제주시 애월읍 광령평화2길 1 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,2609.0,11.0,202.0,23.0,31.0,31.0,32.0,20.0,36.0,29.0
