관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,1월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
도두항,제주특별자치도 제주시 도공로 2 (도두일동),관광지,자연,자연관광지,항구/포구,960.0,1.0,94.0,16.0,25.0,8.0,14.0,11.0,9.0,11.0,33.5060695,126.4649759
도두해녀의집,제주특별자치도 제주시 도두항길 16 (도두일동),음식점,음식,음식점,한식,748.0,1.0,84.0,12.0,19.0,11.0,8.0,12.0,5.0,17.0,33.506162,126.4666434
도리미오름,제주특별자치도 제주시 구좌읍 송당리 산 255-1,관광지,자연,자연관광지,산,333.0,1.0,34.0,7.0,7.0,7.0,5.0,0.0,3.0,5.0,33.4286608,126.7665022
도을,제주특별자치도 제주시 남조로 2343 ,음식점,음식,음식점,카페/전통찻집,295.0,1.0,32.0,6.0,4.0,8.0,5.0,2.0,2.0,5.0,33.4735811,126.6571543
도치돌알파카목장,제주특별자치도 제주시 애월읍 도치돌길 293 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1675.0,1.0,235.0,40.0,37.0,36.0,32.0,36.0,22.0,32.0,,
도토리키친,제주특별자치도 제주시  북성로 (59) ,음식점,음식,음식점,이색음식점,265.0,1.0,35.0,5.0,5.0,5.0,3.0,5.0,4.0,8.0,33.5153877,126.5186172
독개물항,제주특별자치도 제주시 한림읍 한림로 478 ,음식점,음식,음식점,한식,671.0,1.0,83.0,12.0,17.0,8.0,14.0,8.0,12.0,12.0,33.4018776,126.251558
돈내코,제주특별자치도 서귀포시 돈내코로 137 ,관광지,자연,자연관광지,계곡,6251.0,1.0,302.0,48.0,47.0,50.0,43.0,42.0,29.0,43.0,33.3510774,126.620716
돈내코힐리조트,제주특별자치도 서귀포시 돈내코로 180 (상효동),숙박,숙박,숙박시설,게스트하우스,422.0,1.0,31.0,4.0,5.0,6.0,3.0,3.0,4.0,6.0,,
돈사돈,제주특별자치도 제주시 우평로 19 ,음식점,음식,음식점,한식,1705.0,1.0,193.0,40.0,38.0,16.0,33.0,28.0,16.0,22.0,33.4788279,126.4641046
돈사촌,제주특별자치도 서귀포시 동홍중앙로52번길 4 ,음식점,음식,음식점,한식,129.0,1.0,20.0,8.0,1.0,0.0,3.0,3.0,1.0,4.0,33.5119099,126.5198713
돈이랑,제주특별자치도 서귀포시 일주서로 953 (색달동),음식점,음식,음식점,한식,264.0,1.0,28.0,2.0,4.0,4.0,3.0,6.0,2.0,7.0,33.2577179,126.4088731
돈향기,제주특별자치도 제주시 관덕로15길 30 ,음식점,음식,음식점,한식,198.0,1.0,23.0,3.0,3.0,7.0,0.0,3.0,3.0,4.0,33.515825,126.5270343
돔베돈,제주특별자치도 제주시 관덕로15길 25 ,음식점,음식,음식점,한식,210.0,1.0,25.0,7.0,3.0,4.0,2.0,5.0,1.0,3.0,33.5155768,126.5266926
동도원,제주특별자치도 서귀포시 이어도로 189 ,음식점,음식,음식점,한식,237.0,1.0,34.0,7.0,5.0,7.0,4.0,4.0,1.0,6.0,33.2395369,126.4417794
