관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,7월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
보통청춘기록실청춘사진관,제주특별자치도 제주시 한림읍 일주서로 5867 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,786.0,7.0,68.0,14.0,9.0,14.0,8.0,7.0,7.0,9.0
북촌리4.3길,제주특별자치도 제주시 조천읍 북촌3길 3 ,관광지,자연,자연관광지,자연생태관광지,836.0,7.0,54.0,12.0,5.0,11.0,5.0,9.0,6.0,6.0
붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73 ,관광지,자연,자연관광지,자연휴양림,3950.0,7.0,224.0,53.0,31.0,31.0,32.0,30.0,25.0,22.0
비양도,제주특별자치도 제주시 한림읍 한림리 ,관광지,자연,자연관광지,섬,9499.0,7.0,528.0,107.0,64.0,69.0,66.0,66.0,69.0,87.0
사계해변,제주특별자치도 서귀포시 안덕면 사계리 2147-35,관광지,자연,자연관광지,해수욕장,7256.0,7.0,383.0,63.0,34.0,37.0,59.0,58.0,57.0,75.0
사라봉공원,제주특별자치도 제주시 사라봉동길 74 ,관광지,인문(문화/예술/역사),휴양관광지,공원,1849.0,7.0,106.0,15.0,14.0,17.0,18.0,11.0,14.0,17.0
산방산랜드,제주특별자치도 서귀포시 안덕면 사계리 117-2,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3336.0,7.0,213.0,39.0,26.0,31.0,27.0,27.0,34.0,29.0
산지등대,제주특별자치도 제주시 사라봉동길 108-1 (건입동),관광지,자연,자연관광지,등대,1222.0,7.0,74.0,15.0,9.0,9.0,10.0,12.0,7.0,12.0
산지천,제주특별자치도 제주시 건입동 ,관광지,자연,자연관광지,계곡,2021.0,7.0,184.0,28.0,25.0,29.0,26.0,30.0,26.0,20.0
삼매봉,제주특별자치도 서귀포시 서홍동 820-2,관광지,인문(문화/예술/역사),휴양관광지,공원,630.0,7.0,39.0,6.0,3.0,5.0,8.0,7.0,4.0,6.0
